InstrumentID: P9710-521 V5.6 SN:1875 @ COM5
DetectorID:   

 178 0x0B2 -> 255 0xFF 'ÿ'
 179 0x0B3 -> 255 0xFF 'ÿ'
 180 0x0B4 -> 255 0xFF 'ÿ'
 181 0x0B5 -> 255 0xFF 'ÿ'
 182 0x0B6 -> 255 0xFF 'ÿ'
 183 0x0B7 -> 255 0xFF 'ÿ'
 184 0x0B8 -> 255 0xFF 'ÿ'
 185 0x0B9 -> 255 0xFF 'ÿ'
 186 0x0BA -> 255 0xFF 'ÿ'
 187 0x0BB -> 255 0xFF 'ÿ'
 188 0x0BC -> 255 0xFF 'ÿ'
 189 0x0BD -> 255 0xFF 'ÿ'
 190 0x0BE -> 255 0xFF 'ÿ'
 191 0x0BF -> 255 0xFF 'ÿ'
 192 0x0C0 -> 255 0xFF 'ÿ'
 193 0x0C1 -> 255 0xFF 'ÿ'
 194 0x0C2 -> 255 0xFF 'ÿ'
 195 0x0C3 -> 255 0xFF 'ÿ'
 196 0x0C4 -> 255 0xFF 'ÿ'
 197 0x0C5 -> 255 0xFF 'ÿ'
 198 0x0C6 -> 255 0xFF 'ÿ'
 199 0x0C7 -> 255 0xFF 'ÿ'
 200 0x0C8 -> 255 0xFF 'ÿ'
 201 0x0C9 -> 255 0xFF 'ÿ'
 202 0x0CA -> 255 0xFF 'ÿ'
 203 0x0CB -> 255 0xFF 'ÿ'
 204 0x0CC -> 255 0xFF 'ÿ'
 205 0x0CD -> 255 0xFF 'ÿ'
 206 0x0CE -> 255 0xFF 'ÿ'
 207 0x0CF -> 255 0xFF 'ÿ'
 208 0x0D0 -> 255 0xFF 'ÿ'
 209 0x0D1 -> 255 0xFF 'ÿ'
 210 0x0D2 -> 255 0xFF 'ÿ'
 211 0x0D3 -> 255 0xFF 'ÿ'
 212 0x0D4 -> 255 0xFF 'ÿ'
 213 0x0D5 -> 255 0xFF 'ÿ'
 214 0x0D6 -> 255 0xFF 'ÿ'
 215 0x0D7 -> 255 0xFF 'ÿ'
 216 0x0D8 -> 255 0xFF 'ÿ'
 217 0x0D9 -> 255 0xFF 'ÿ'
 218 0x0DA -> 255 0xFF 'ÿ'
 219 0x0DB -> 255 0xFF 'ÿ'
 220 0x0DC -> 255 0xFF 'ÿ'
 221 0x0DD -> 255 0xFF 'ÿ'
 222 0x0DE -> 255 0xFF 'ÿ'
 223 0x0DF -> 255 0xFF 'ÿ'
 224 0x0E0 -> 255 0xFF 'ÿ'
 225 0x0E1 -> 255 0xFF 'ÿ'
 226 0x0E2 -> 255 0xFF 'ÿ'
 227 0x0E3 -> 255 0xFF 'ÿ'
 228 0x0E4 -> 255 0xFF 'ÿ'
 229 0x0E5 -> 255 0xFF 'ÿ'
 230 0x0E6 -> 255 0xFF 'ÿ'
 231 0x0E7 -> 255 0xFF 'ÿ'
 232 0x0E8 -> 255 0xFF 'ÿ'
 233 0x0E9 -> 255 0xFF 'ÿ'
 234 0x0EA -> 255 0xFF 'ÿ'
 235 0x0EB -> 255 0xFF 'ÿ'
 236 0x0EC -> 255 0xFF 'ÿ'
 237 0x0ED -> 255 0xFF 'ÿ'
 238 0x0EE -> 255 0xFF 'ÿ'
 239 0x0EF -> 255 0xFF 'ÿ'
 240 0x0F0 -> 255 0xFF 'ÿ'
 241 0x0F1 -> 255 0xFF 'ÿ'
 242 0x0F2 -> 255 0xFF 'ÿ'
 243 0x0F3 -> 255 0xFF 'ÿ'
 244 0x0F4 -> 255 0xFF 'ÿ'
 245 0x0F5 -> 255 0xFF 'ÿ'
 246 0x0F6 -> 255 0xFF 'ÿ'
 247 0x0F7 -> 255 0xFF 'ÿ'
 248 0x0F8 -> 255 0xFF 'ÿ'
 249 0x0F9 -> 255 0xFF 'ÿ'
 250 0x0FA -> 255 0xFF 'ÿ'
 251 0x0FB -> 255 0xFF 'ÿ'
 252 0x0FC -> 255 0xFF 'ÿ'
 253 0x0FD -> 255 0xFF 'ÿ'
 254 0x0FE -> 255 0xFF 'ÿ'
 255 0x0FF -> 255 0xFF 'ÿ'
 256 0x100 -> 255 0xFF 'ÿ'
 257 0x101 -> 255 0xFF 'ÿ'
 258 0x102 -> 255 0xFF 'ÿ'
 259 0x103 -> 255 0xFF 'ÿ'
 260 0x104 -> 255 0xFF 'ÿ'
 261 0x105 -> 255 0xFF 'ÿ'
 262 0x106 -> 255 0xFF 'ÿ'
 263 0x107 -> 255 0xFF 'ÿ'
 264 0x108 -> 255 0xFF 'ÿ'
 265 0x109 -> 255 0xFF 'ÿ'
 266 0x10A -> 255 0xFF 'ÿ'
 267 0x10B -> 255 0xFF 'ÿ'
 268 0x10C -> 255 0xFF 'ÿ'
 269 0x10D -> 255 0xFF 'ÿ'
 270 0x10E -> 255 0xFF 'ÿ'
 271 0x10F -> 255 0xFF 'ÿ'
 272 0x110 -> 255 0xFF 'ÿ'
 273 0x111 -> 255 0xFF 'ÿ'
 274 0x112 -> 255 0xFF 'ÿ'
 275 0x113 -> 255 0xFF 'ÿ'
 276 0x114 -> 255 0xFF 'ÿ'
 277 0x115 -> 255 0xFF 'ÿ'
 278 0x116 -> 255 0xFF 'ÿ'
 279 0x117 -> 255 0xFF 'ÿ'
 280 0x118 -> 255 0xFF 'ÿ'
 281 0x119 -> 255 0xFF 'ÿ'
 282 0x11A -> 255 0xFF 'ÿ'
 283 0x11B -> 255 0xFF 'ÿ'
 284 0x11C -> 255 0xFF 'ÿ'
 285 0x11D -> 255 0xFF 'ÿ'
 286 0x11E -> 255 0xFF 'ÿ'
 287 0x11F -> 255 0xFF 'ÿ'
 288 0x120 -> 255 0xFF 'ÿ'
 289 0x121 -> 255 0xFF 'ÿ'
 290 0x122 -> 255 0xFF 'ÿ'
 291 0x123 -> 255 0xFF 'ÿ'
 292 0x124 -> 255 0xFF 'ÿ'
 293 0x125 -> 255 0xFF 'ÿ'
 294 0x126 -> 255 0xFF 'ÿ'
 295 0x127 -> 255 0xFF 'ÿ'
 296 0x128 -> 255 0xFF 'ÿ'
 297 0x129 -> 255 0xFF 'ÿ'
 298 0x12A -> 255 0xFF 'ÿ'
 299 0x12B -> 255 0xFF 'ÿ'
 300 0x12C -> 255 0xFF 'ÿ'
 301 0x12D -> 255 0xFF 'ÿ'
 302 0x12E -> 255 0xFF 'ÿ'
 303 0x12F -> 255 0xFF 'ÿ'
 304 0x130 -> 255 0xFF 'ÿ'
 305 0x131 -> 255 0xFF 'ÿ'
 306 0x132 -> 255 0xFF 'ÿ'
 307 0x133 -> 255 0xFF 'ÿ'
 308 0x134 -> 255 0xFF 'ÿ'
 309 0x135 -> 255 0xFF 'ÿ'
 310 0x136 -> 255 0xFF 'ÿ'
 311 0x137 -> 255 0xFF 'ÿ'
 312 0x138 -> 255 0xFF 'ÿ'
 313 0x139 -> 255 0xFF 'ÿ'
 314 0x13A -> 255 0xFF 'ÿ'
 315 0x13B -> 255 0xFF 'ÿ'
 316 0x13C -> 255 0xFF 'ÿ'
 317 0x13D -> 255 0xFF 'ÿ'
 318 0x13E -> 255 0xFF 'ÿ'
 319 0x13F -> 255 0xFF 'ÿ'
 320 0x140 -> 255 0xFF 'ÿ'
 321 0x141 -> 255 0xFF 'ÿ'
 322 0x142 -> 255 0xFF 'ÿ'
 323 0x143 -> 255 0xFF 'ÿ'
 324 0x144 -> 255 0xFF 'ÿ'
 325 0x145 -> 255 0xFF 'ÿ'
 326 0x146 -> 255 0xFF 'ÿ'
 327 0x147 -> 255 0xFF 'ÿ'
 328 0x148 -> 255 0xFF 'ÿ'
 329 0x149 -> 255 0xFF 'ÿ'
 330 0x14A -> 255 0xFF 'ÿ'
 331 0x14B -> 255 0xFF 'ÿ'
 332 0x14C -> 255 0xFF 'ÿ'
 333 0x14D -> 255 0xFF 'ÿ'
 334 0x14E -> 255 0xFF 'ÿ'
 335 0x14F -> 255 0xFF 'ÿ'
 336 0x150 -> 255 0xFF 'ÿ'
 337 0x151 -> 255 0xFF 'ÿ'
 338 0x152 -> 255 0xFF 'ÿ'
 339 0x153 -> 255 0xFF 'ÿ'
 340 0x154 -> 255 0xFF 'ÿ'
 341 0x155 -> 255 0xFF 'ÿ'
 342 0x156 -> 255 0xFF 'ÿ'
 343 0x157 -> 255 0xFF 'ÿ'
 344 0x158 -> 255 0xFF 'ÿ'
 345 0x159 -> 255 0xFF 'ÿ'
 346 0x15A -> 255 0xFF 'ÿ'
 347 0x15B -> 255 0xFF 'ÿ'
 348 0x15C -> 255 0xFF 'ÿ'
 349 0x15D -> 255 0xFF 'ÿ'
 350 0x15E -> 255 0xFF 'ÿ'
 351 0x15F -> 255 0xFF 'ÿ'
 352 0x160 -> 255 0xFF 'ÿ'
 353 0x161 -> 255 0xFF 'ÿ'
 354 0x162 -> 255 0xFF 'ÿ'
 355 0x163 -> 255 0xFF 'ÿ'
 356 0x164 -> 255 0xFF 'ÿ'
 357 0x165 -> 255 0xFF 'ÿ'
 358 0x166 -> 255 0xFF 'ÿ'
 359 0x167 -> 255 0xFF 'ÿ'
 360 0x168 -> 255 0xFF 'ÿ'
 361 0x169 -> 255 0xFF 'ÿ'
 362 0x16A -> 255 0xFF 'ÿ'
 363 0x16B -> 255 0xFF 'ÿ'
 364 0x16C -> 255 0xFF 'ÿ'
 365 0x16D -> 255 0xFF 'ÿ'
 366 0x16E -> 255 0xFF 'ÿ'
 367 0x16F -> 255 0xFF 'ÿ'
 368 0x170 -> 255 0xFF 'ÿ'
 369 0x171 -> 255 0xFF 'ÿ'
 370 0x172 -> 255 0xFF 'ÿ'
 371 0x173 -> 255 0xFF 'ÿ'
 372 0x174 -> 255 0xFF 'ÿ'
 373 0x175 -> 255 0xFF 'ÿ'
 374 0x176 -> 255 0xFF 'ÿ'
 375 0x177 -> 255 0xFF 'ÿ'
 376 0x178 -> 255 0xFF 'ÿ'
 377 0x179 -> 255 0xFF 'ÿ'
 378 0x17A -> 255 0xFF 'ÿ'
 379 0x17B -> 255 0xFF 'ÿ'
 380 0x17C -> 255 0xFF 'ÿ'
 381 0x17D -> 255 0xFF 'ÿ'
 382 0x17E -> 255 0xFF 'ÿ'
 383 0x17F -> 255 0xFF 'ÿ'
 384 0x180 -> 255 0xFF 'ÿ'
 385 0x181 -> 255 0xFF 'ÿ'
 386 0x182 -> 255 0xFF 'ÿ'
